FID,X,Y,Join_Count
0,113.2516757,22.99757012,1
1,113.2517599,22.99771209,1
2,113.2546574,22.997938,3
3,113.2547735,22.9980073,1
4,113.2550869,22.9978432,3
5,113.2551276,22.9977431,1
6,113.2555917,22.99806681,4
7,113.2557795,22.9977381,3
8,113.2558555,22.99774957,4
9,113.2558943,22.99773131,4
10,113.255932,22.9986403,1
11,113.2560937,22.99826394,4
12,113.2561348,22.9986988,1
13,113.2561543,22.99811677,4
14,113.2561854,22.99803614,4
15,113.2562236,22.9979374,4
16,113.2562642,22.99836531,4
17,113.2562755,22.99780297,4
18,113.2563511,22.99814102,4
19,113.2563842,22.9980554,4
20,113.2564221,22.99795749,4
21,113.2564765,22.99781697,4
22,113.2565359,22.996765,2
23,113.2566236,22.996966,3
24,113.2568291,22.9969613,3
25,113.256965,22.9898881,3
26,113.2569884,22.9979022,3
27,113.2571101,22.98997436,4
28,113.2571269,22.9898467,3
29,113.2573876,22.9982319,2
30,113.2574313,22.9974735,2
31,113.2574323,22.9981332,2
32,113.2574574,22.9948395,3
33,113.2575347,22.9924878,3
34,113.2575921,22.9952817,3
35,113.2576362,22.9928777,3
36,113.2578013,22.994795,2
37,113.2578027,22.9940838,3
38,113.2578361,22.99851731,4
39,113.257894,22.99838672,4
40,113.2579098,22.99809769,4
41,113.2579164,22.99828349,4
42,113.2579286,22.9861662,3
43,113.2580033,22.9860765,3
44,113.2580787,22.9862181,4
45,113.2581549,22.9940495,3
46,113.2581559,22.986128,4
47,113.2581698,22.99336436,4
48,113.258236,22.99323078,4
49,113.258395,22.99352199,4
50,113.2584587,22.99338706,4
51,113.2587303,22.9923945,3
52,113.2589922,22.9937227,3
53,113.2592842,22.9921407,3
54,113.2593228,22.9991893,3
55,113.2593341,22.9941703,3
56,113.2594395,22.99144258,4
57,113.2594977,22.99135764,4
58,113.2596071,22.9851435,3
59,113.2596562,22.99161746,4
60,113.2596942,22.994396,3
61,113.2597406,22.9915037,4
62,113.2598102,22.994236,4
63,113.2598561,22.999296,3
64,113.2598616,23.0000533,1
65,113.2599071,22.99127919,4
66,113.2599368,22.9909555,2
67,113.2600224,22.99167741,4
68,113.2600608,23.0001366,1
69,113.2601436,22.99966445,4
70,113.2602211,22.9919185,2
71,113.2602447,22.99952516,4
72,113.2602684,22.9938639,2
73,113.2603306,22.99976514,4
74,113.2604346,22.99962193,4
75,113.2606472,22.9922975,3
76,113.2607109,22.9932367,3
77,113.2607388,22.9929501,3
78,113.2607421,22.9999692,1
79,113.2608467,22.9998211,1
80,113.2608533,22.9851567,3
81,113.2609706,22.99271386,4
82,113.2610306,22.99252685,4
83,113.2610507,22.99245483,4
84,113.2610969,22.99227605,4
85,113.2611781,22.9850617,4
86,113.2611874,22.99265063,4
87,113.2612017,22.98497638,4
88,113.2612047,22.99263119,4
89,113.2612054,22.9949804,2
90,113.2612465,22.99258404,4
91,113.261278,22.9852226,3
92,113.2613126,22.9926959,3
93,113.2613764,22.99243098,4
94,113.2613929,22.98498274,4
95,113.2614322,22.9848101,3
96,113.2614541,22.9792938,1
97,113.2615423,22.991255,3
98,113.2616479,22.9884648,3
99,113.2618108,22.9929945,3
100,113.2618834,22.9955004,3
101,113.2621906,22.9877331,3
102,113.2622611,22.98758178,4
103,113.2622898,22.98759589,4
104,113.2623062,22.98748511,4
105,113.262354,22.98750705,4
106,113.2625008,22.98770897,4
107,113.2625682,22.98761061,4
108,113.2625766,22.9844103,3
109,113.2626213,22.99623905,4
110,113.2626508,22.9856373,3
111,113.2626934,22.9853783,3
112,113.2627438,22.99606626,4
113,113.2627985,22.99634885,4
114,113.2629192,22.9961753,4
115,113.2629645,22.9893378,3
116,113.262975,22.986449,3
117,113.263007,22.9854758,3
118,113.2634003,22.9861286,2
119,113.2634088,22.9865131,3
120,113.2634365,22.98588499,4
121,113.2636479,22.98566735,4
122,113.2636935,22.98596634,4
123,113.2636998,22.982793,3
124,113.2637451,22.9822493,3
125,113.2637826,22.98599457,4
126,113.2638066,22.98857422,4
127,113.2638222,22.98593962,4
128,113.2639241,22.9940076,3
129,113.2639263,22.979335,3
130,113.2639564,22.98575343,4
131,113.2639645,22.98847117,4
132,113.2639729,22.9792071,3
133,113.2640293,22.99433143,4
134,113.2640334,22.9852079,3
135,113.2640585,22.9859302,2
136,113.2640616,22.98874556,4
137,113.2640771,22.9793913,4
138,113.2640774,22.9789631,3
139,113.264114,22.99429418,4
140,113.2641215,22.9792626,4
141,113.2641227,22.99438488,4
142,113.2641654,22.98859788,4
143,113.2642498,22.9881061,1
144,113.2642529,22.978941,3
145,113.2644365,22.9943145,3
146,113.2644492,22.9862381,4
147,113.2645193,22.9859104,3
148,113.2645415,22.9849396,3
149,113.2645738,22.99438887,4
150,113.2646184,22.9878762,3
151,113.2646332,22.9974988,1
152,113.2649954,22.9870813,3
153,113.2650688,22.9837996,3
154,113.2651916,22.9870593,2
155,113.2652895,22.9839205,3
156,113.2653348,22.9862132,3
157,113.2656807,22.9829669,3
158,113.2658683,22.983126,3
159,113.2658824,22.9982928,1
160,113.2659229,22.9867531,3
161,113.2661036,22.9865852,3
162,113.2661183,22.9985401,1
163,113.2661517,22.99841854,4
164,113.2662003,22.99824145,4
165,113.2662317,22.9955995,2
166,113.2663888,22.9986584,1
167,113.2664256,22.99851603,4
168,113.2664641,22.99836748,4
169,113.2667446,22.9869465,3
170,113.2667633,22.9902364,3
171,113.2668208,22.9960754,4
172,113.2668429,22.9874438,2
173,113.2668816,22.996575,3
174,113.2669128,22.98442695,4
175,113.2669731,22.98434509,4
176,113.267009,22.98120181,4
177,113.2670232,22.98449827,4
178,113.2670437,22.9904133,3
179,113.2670837,22.98441642,4
180,113.2670847,22.98108941,4
181,113.2671186,22.99627278,4
182,113.26716,22.9809777,1
183,113.2672053,22.98132302,4
184,113.2672089,22.99081085,4
185,113.2672846,22.98121262,4
186,113.2673296,22.99641265,4
187,113.2673809,22.9810785,1
188,113.2673851,22.99629997,4
189,113.26745,22.9956823,2
190,113.2677322,22.987914,3
191,113.2680808,22.9881356,3
192,113.2683232,22.9879419,3
193,113.2685766,22.9821698,4
194,113.2686627,22.9820622,4
