FID,oneway,length(m),beginX,beginY,endX,endY
0,1,54.57277544,113.6095177,22.6147964,113.6099023,22.6151357
1,1,51.85582271,113.609818,22.6152227,113.6094426,22.6149103
2,1,12.96537669,113.609818,22.6152227,113.6099023,22.6151357
3,1,19.36016599,113.6099023,22.6151357,113.6100442,22.6152505
4,1,19.35656999,113.6099606,22.6153367,113.609818,22.6152227
5,1,12.85126042,113.6100442,22.6152505,113.6099606,22.6153367
6,1,1820.849997,113.6100442,22.6152505,113.623141,22.6263077
7,1,1823.75897,113.623071,22.6264191,113.6099606,22.6153367
8,0,14.28887845,113.623141,22.6263077,113.623071,22.6264191
9,0,467.1445621,113.623071,22.6264191,113.6201077,22.6295705
10,0,9.916085869,113.6201077,22.6295705,113.6200427,22.6296366
11,1,550.2529871,113.6835711,22.6319667,113.6783448,22.6309056
12,1,616.0606632,113.6783698,22.6307995,113.6842236,22.631977
13,1,221.7141454,113.6842236,22.631977,113.6846888,22.6300231
14,1,6.395682668,113.6836319,22.6319788,113.6835711,22.6319667
15,1,58.68956253,113.6841894,22.6320917,113.6836319,22.6319788
16,1,90.69800816,113.6833818,22.6327662,113.6835711,22.6319667
17,1,92.74950814,113.6836319,22.6319788,113.6834384,22.6327964
18,0,541.7716756,113.6201077,22.6295705,113.6239388,22.6329265
19,1,223.7197601,113.6239388,22.6329265,113.6260334,22.6323823
20,0,15.90563212,113.6239388,22.6329265,113.6240517,22.63302463
21,1,214.7262898,113.6260604,22.632497,113.6240517,22.63302463
22,1,1172.99348,113.6260334,22.6323823,113.6372827,22.6331568
23,1,1164.797314,113.6372242,22.6333774,113.6260604,22.632497
24,1,275.2105216,113.6836059,22.6345158,113.6841894,22.6320917
25,1,731.0629441,113.6844475,22.6297775,113.6833725,22.6359386
26,1,2481.800773,113.6372827,22.6331568,113.6607977,22.6381818
27,1,2482.149421,113.6607582,22.6383414,113.6372242,22.6333774
28,0,1744.509974,113.6240517,22.63302463,113.6385258,22.639398
29,1,1046.883186,113.6607977,22.6381818,113.670456,22.6411475
30,1,19.10571624,113.670456,22.6411475,113.6706298,22.6412084
31,1,3133.38637,113.670456,22.6411475,113.6706298,22.6412084
32,1,1043.025239,113.6703841,22.6412913,113.6607582,22.6383414
33,1,17.56504892,113.6703841,22.6412913,113.670456,22.6411475
34,1,21.44541276,113.6705761,22.6413668,113.6703841,22.6412913
35,1,18.39880605,113.6706298,22.6412084,113.6705761,22.6413668
36,0,6850.868948,113.5868155,22.6012422,113.5442917,22.6484037
37,1,3773.406973,113.5933606,22.6504026,113.6239388,22.6329265
38,1,3772.37436,113.6240517,22.63302463,113.5934936,22.6505114
39,1,1394.964237,113.6705761,22.6413668,113.6660722,22.6532426
40,1,1408.906038,113.6657661,22.6532631,113.6703841,22.6412913
41,1,31.56017553,113.6657661,22.6532631,113.6660722,22.6532426
42,1,32.92211808,113.6660722,22.6532426,113.6659547,22.653519
43,1,33.38882491,113.6656661,22.6535498,113.6657661,22.6532631
44,1,29.87423633,113.6659547,22.653519,113.6656661,22.6535498
45,1,273.5713457,113.6648284,22.6558933,113.6656661,22.6535498
46,1,296.7453091,113.6659547,22.653519,113.6650132,22.6560507
47,0,1822.146555,113.5442917,22.6484037,113.5314868,22.6596463
48,0,2011.846933,113.5576231,22.6612723,113.5442917,22.6484037
49,1,7413.120904,113.5576231,22.6612723,113.609818,22.6152227
50,0,18.28230044,113.5577191,22.6614112,113.5576231,22.6612723
51,1,7417.873296,113.6099606,22.6153367,113.5577191,22.6614112
52,0,1772.90508,113.5680589,22.6741239,113.5577191,22.6614112
53,0,33.15528606,113.5682852,22.6743371,113.5680589,22.6741239
54,0,17.736346,113.5684063,22.67445114,113.5682852,22.6743371
55,0,293.9658311,113.5684063,22.67445114,113.5680589,22.6741239
56,0,12.03362498,113.5684884,22.67452851,113.5684063,22.67445114
