x,y,z,type
-0.014670,1.113340,1.251291,2
-0.014670,1.113340,1.376410,2
-0.014670,1.113340,1.398456,2
-0.064670,1.113340,2.250100,2
-0.164670,1.113340,2.287448,2
0.185330,1.113340,2.244243,2
0.235330,1.113340,2.137889,2
-0.264670,1.063340,1.321186,2
-0.014670,1.063340,1.390890,2
-0.164670,1.063340,1.430182,2
-0.014670,1.063340,1.280664,2
-0.364670,1.063340,2.203674,2
-0.264670,1.063340,2.279934,2
0.285330,1.063340,1.334748,2
0.235330,1.063340,1.303076,2
0.285330,1.063340,1.385671,2
0.235330,1.063340,2.236165,2
0.285330,1.063340,2.094986,2
0.585330,1.063340,2.121026,2
0.285330,1.063340,2.223526,2
0.285330,1.063340,2.239899,2
0.335330,1.063340,2.255507,2
0.535330,1.063340,2.215707,2
0.035330,1.063340,2.115833,2
-0.114670,1.013340,1.354180,2
-0.114670,1.013340,1.314555,2
-0.314670,1.013340,2.125825,2
-0.214670,1.013340,1.456124,2
-0.314670,1.013340,2.156108,2
-0.214670,1.013340,1.343035,2
-0.064670,1.013340,1.261951,2
-0.214670,1.013340,1.331766,2
-0.414670,1.013340,2.279106,2
-0.414670,1.013340,2.254289,2
-0.364670,1.013340,2.266111,2
-0.464670,1.013340,2.320198,2
-0.064670,1.013340,2.213396,2
-0.014670,1.013340,1.365503,2
-0.014670,1.013340,1.386809,2
-0.114670,1.013340,2.114342,2
0.035330,1.013340,1.238925,2
0.285330,1.013340,1.226326,2
0.285330,1.013340,1.394471,2
0.135330,1.013340,2.176695,2
0.135330,1.013340,2.218490,2
0.185330,1.013340,2.294186,2
0.185330,1.013340,2.085413,2
0.335330,1.013340,2.034105,2
0.185330,1.013340,2.263397,2
0.435330,1.013340,2.075298,2
0.285330,1.013340,2.167441,2
0.285330,1.013340,2.228695,2
0.035330,1.013340,2.193035,2
0.035330,1.013340,2.157728,2
0.035330,1.013340,2.243503,2
0.035330,1.013340,2.133008,2
0.035330,1.013340,2.209633,2
0.085330,1.013340,2.261889,2
0.035330,1.013340,2.325954,2
0.585330,1.013340,2.131031,2
0.585330,1.013340,2.146479,2
-0.214670,0.963340,1.351246,2
-0.164670,0.963340,1.247100,2
-0.164670,0.963340,1.329898,2
-0.014670,0.963340,1.250936,2
-0.114670,0.963340,1.349625,2
-0.114670,0.963340,1.339417,2
-0.814670,0.963340,1.982796,2
-0.264670,0.963340,1.246180,2
-0.114670,0.963340,2.205634,2
-0.014670,0.963340,2.021255,2
-0.514670,0.963340,2.190806,2
-0.314670,0.963340,2.145010,2
-0.314670,0.963340,2.130840,2
-0.314670,0.963340,2.175217,2
-0.014670,0.963340,2.162543,2
-0.014670,0.963340,2.242995,2
-0.514670,0.963340,2.182590,2
-0.514670,0.963340,2.284726,2
-0.364670,0.963340,2.122277,2
-0.214670,0.963340,2.153384,2
-0.164670,0.963340,2.144339,2
-0.164670,0.963340,2.211483,2
-0.064670,0.963340,2.115999,2
-0.464670,0.963340,2.208753,2
-0.464670,0.963340,2.129100,2
-0.464670,0.963340,2.245169,2
0.235330,0.963340,1.294635,2
0.285330,0.963340,1.285585,2
0.035330,0.963340,1.277866,2
0.035330,0.963340,1.323375,2
0.285330,0.963340,1.263058,2
0.235330,0.963340,2.050706,2
0.285330,0.963340,2.047077,2
0.535330,0.963340,2.122986,2
0.585330,0.963340,2.190499,2
0.535330,0.963340,2.107728,2
0.285330,0.963340,2.324836,2
0.335330,0.963340,2.340845,2
0.535330,0.963340,2.170991,2
0.035330,0.963340,2.155813,2
0.085330,0.963340,2.350192,2
0.135330,0.963340,2.338980,2
-0.164670,0.913340,1.280592,2
-0.214670,0.913340,1.369394,2
-0.164670,0.913340,1.282196,2
-0.064670,0.913340,1.253818,2
-0.114670,0.913340,1.356247,2
-0.014670,0.913340,1.266721,2
-0.164670,0.913340,1.404767,2
-0.014670,0.913340,1.289690,2
-0.764670,0.913340,1.943600,2
-0.764670,0.913340,1.974467,2
-0.064670,0.913340,1.450243,2
-0.714670,0.913340,1.943083,2
-0.714670,0.913340,1.916685,2
-0.164670,0.913340,2.132198,2
-0.014670,0.913340,1.950171,2
-0.414670,0.913340,2.104578,2
-0.314670,0.913340,2.118411,2
-0.014670,0.913340,2.091901,2
-0.464670,0.913340,2.127607,2
-0.264670,0.913340,2.084012,2
-0.464670,0.913340,2.270760,2
-0.264670,0.913340,2.182129,2
-0.164670,0.913340,2.157195,2
-0.114670,0.913340,2.007228,2
-0.114670,0.913340,2.033704,2
-0.064670,0.913340,2.098997,2
-0.064670,0.913340,2.190548,2
-0.064670,0.913340,2.216743,2
-0.514670,0.913340,2.259479,2
0.185330,0.913340,1.359922,2
0.135330,0.913340,1.225825,2
0.185330,0.913340,2.087486,2
0.185330,0.913340,2.138470,2
0.185330,0.913340,2.143457,2
0.185330,0.913340,2.255008,2
0.235330,0.913340,2.102409,2
0.335330,0.913340,2.097356,2
0.235330,0.913340,2.054761,2
0.235330,0.913340,2.097564,2
0.435330,0.913340,2.100247,2
0.285330,0.913340,2.101536,2
0.535330,0.913340,2.061738,2
0.585330,0.913340,2.087641,2
0.485330,0.913340,1.981111,2
0.585330,0.913340,2.097537,2
