Plot_ID,Mean_DBH,Min_DBH,Max_DBH,Mean_H,Min_H,Max_H
1,48.8934785179,20.5,87.0999984741,21.6847825776,2.59999990463,46.4000015259
2,35.38,19.6000003815,95.3000030518,16.6720000076,9.19999980927,26.2999992371
3,55.5428578513,23.3999996185,106.300003052,22.1476192474,6.5,39.0
4,54.2166671753,37.0,87.3000030518,20.9333335559,12.1999998093,29.7000007629
5,50.6183094508,20.2999992371,81.5999984741,22.3000000161,8.10000038147,44.4000015259
6,38.4734373689,20.5,71.3000030518,23.7328125685,3.59999990463,51.0
7,30.5541669528,19.6000003815,80.8000030518,13.4041667183,5.80000019073,33.0999984741
8,46.1719999695,0.0,101.0,23.5239999008,0.0,55.2000007629
9,38.2733329773,20.1000003815,83.5,17.2999999682,7.59999990463,37.2999992371
11,50.1678567614,19.5,100.099998474,24.9785717215,7.0,44.9000015259
12,59.2999992371,22.5,96.0999984741,28.4999995232,13.6999998093,43.2999992371
13,38.3905660521,20.2000007629,78.9000015259,19.4113207583,7.69999980927,40.5
14,41.0967744397,19.7000007629,90.3000030518,17.877419441,3.0,38.4000015259
17,42.2562497854,22.0,78.5,17.224999845,8.19999980927,34.2000007629
18,51.7454544414,24.3999996185,87.0,22.1272724758,4.90000009537,40.7999992371
20,37.2839283943,22.2000007629,77.5,19.085714204,8.5,33.7999992371
21,34.2076923664,20.1000003815,62.0,18.5230769744,2.5,31.7999992371
22,28.9142854781,20.2999992371,56.2999992371,13.0428570793,7.0,21.7000007629
23,22.5166667302,0.0,34.5,9.20000004768,0.0,16.1000003815
24,38.6249995232,20.1000003815,94.9000015259,16.9124999444,2.59999990463,48.7999992371
25,37.3176465315,20.1000003815,78.1999969482,16.3823527729,4.0,26.0
26,39.8999994993,22.0,132.399993896,21.868750006,10.6999998093,52.5
27,39.9553570407,21.7000007629,105.300003052,21.9624997548,10.6000003815,42.5999984741
28,53.5972220103,20.6000003815,107.199996948,27.1250000795,5.0,46.5999984741
