freq,x,y,dem,prec1,prec10,prec11,prec12,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,tmean1,tmean10,tmean11,tmean12,tmean2,tmean3,tmean4,tmean5,tmean6,tmean7,tmean8,tmean9
2,-44653.5453,4327397.43676,412.45419,236.32507,73.522766,187.16489,203.51183,178.45537,166.51183,77.054214,23.466301,6,2,6.9348507,18.65531,69.010933,137.01094,93.666245,70.010933,83.166618,88.479485,103.29272,131.19994,161.88063,187.40984,186.22308,168.60109
4,-27653.5453,4329397.43676,213.90141,212.84668,59.948467,151.8703,175.8716,158.89822,138.8716,60.973373,18,5,2,5,15,75.001724,154.07944,105.02963,76.053253,93.12841,103.12841,123.02534,155.10178,189.10178,217.1516,213.12541,190.10307
2,-26653.5453,4335397.43676,381.4537,215.36568,61.702957,160.68436,180.91766,161.3428,145.55688,65.766693,19,5,2,5.5754876,16.063734,66.593468,146.87376,95.017982,67.297661,83.298286,94.0186,113.59409,148.78653,184.65782,217.23331,213.01736,186.59348
1,-25653.5453,4334397.43676,363.2207,213.02791,60.982201,157.409,178.53601,159.16464,142.71846,63.918694,18.571611,5,2,5.1824393,15.754051,66.94458,148.09302,95.093018,67.555405,84.716431,94.962379,115.0473,150.18404,186.89886,218.08131,214.36125,187.5554
2,-25653.5453,4317397.43676,384.44308,227.32309,67.357979,172.93741,189.57942,169.32309,153.45963,68.357979,18.25633,5,2,5.8802075,16.25633,68.284035,146.40382,96.488739,69.284035,84.267296,93.147499,112.77138,145.26729,180.28404,207.54037,205.09447,181.36894
2,-24653.5453,4320397.43676,171.6384,215.60347,62.00758,157.60347,178.60347,160.18094,141.60347,61.595886,17,5,2,5,15,78.212334,158.3857,110.21233,78.808228,96.808228,107.20476,125.63811,158.40411,190.41495,216.58073,212.99242,192.39328
2,-22653.5453,4316397.43676,134.08368,216.67464,62.525852,159.14879,179.14879,161.05171,143.10716,61.525852,16.041624,5,2,5,14.484229,79.42244,160.38081,113.24211,81.339188,100.24211,109.46781,128.76796,160.86505,192.93057,217.06927,213.49806,193.43253
2,-20653.5453,4314397.43676,188.3782,221.55322,63.74802,163.53664,182.93242,163.96101,145.93242,62.760021,16.575617,5,2,5,14.592203,76.427368,159.41078,110.23096,78.398773,96.811157,106.41537,126.38677,159.85175,192.03157,217.80359,213.83218,192.04816
2,-18653.5453,4316397.43676,556.09784,227.05551,68.597023,175.90669,189.48138,170.30968,155.19405,70.022903,18.71265,5.7126503,2,6,17,61.9771,140.63423,88.208359,61.402981,75.805382,84.069824,104.09331,139.5192,176.83856,207.80595,203.69032,177.97768
3,-16653.5453,4235397.43676,102.82325,215.53807,64.453102,160.17369,174.62746,156.63121,137.13005,63.178104,13.635621,6.6356211,2,4,12.772408,85.727333,148.36813,112.95117,85.72876,99.231346,104.45751,117.18252,134.59573,154.22758,164.49884,167.86322,167.86554
2,-11653.5453,4309397.43676,620.08087,231.12244,69.693611,177.83626,191.71382,173.69362,157.33765,71.040421,18.346806,5.6734033,2,5.6734033,17.346806,60.682564,140.28618,87.956512,60.682564,72.916397,81.539917,101.89619,137.69173,176.31555,205.66235,202.66235,176.71194
11,-11653.5453,4274397.43676,80.954811,234.0726,63.024197,164.04994,188.0484,170.07104,143.0484,64.0242,14.022652,6,2,4,14,79,155.08629,110.88796,78.977348,98.933266,108.06364,125,151.00154,175.93326,189.02264,189.93172,182.0211
2,-10653.5453,4314397.43676,410.39932,216.37648,62.128487,158.55302,176.61891,161.66527,141.57256,62.276512,16.148026,5.0268111,2,5.0268111,15.148026,64.387047,148.45294,95.358536,65.460205,82.26413,93.378075,116.03567,151.35126,189.27811,218.91615,214.091,187.96979
5,-9653.54530003,4274397.43676,18.053896,215.76956,56.438206,144.66272,171.66272,158.49115,129.4382,58.438206,14,5,2,4,13,80,158,112,81.052948,103,110.43821,128.4382,154.54506,177.59801,189.15979,189.72159,185.10684
