id,X,Y,mapX,mapY,dem,prec1,prec10,prec11,prec12,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,tmean1,tmean10,tmean11,tmean12,tmean2,tmean3,tmean4,tmean5,tmean6,tmean7,tmean8,tmean9
0,63,-33,-93653.5453,4644397.43676,203.40898,316.03503,142.99673,330.19711,341.23541,261.01425,278.17307,142.97922,86.975952,34.979214,9,26,50.982475,72.300056,122.14127,93.489418,73.282532,81.120483,83.138008,92.517944,113.14127,135.36568,150,153.17184,145.16205
1,84,-99,-72653.5453,4578397.43676,950.12256,244.03258,112.96751,251.23804,265.50003,200.50804,197.77855,103,55.007992,20.992008,6.9920077,22.745983,35.992008,32.57309,101.8681,56.310566,32.335056,44.581081,49.859592,65.613052,96.859596,130.84361,159.08904,160.83502,138.31856
2,100,-132,-56653.5453,4545397.43676,367.80948,218.04929,89.098587,201.24646,225.21356,175.05452,168.14787,79.205299,42.131359,14.955939,4.06568,15.093354,28.024647,55.632641,134.80806,83.780388,54.635666,73.652054,86.696114,107.75877,139.78947,174.70134,203.726,202.77309,178.66031
3,123,-151,-33653.5453,4526397.43676,1203.0981,199.67383,86.512108,195.18593,209.3242,164.3242,157.18568,77.67408,38.861732,17.69976,6.3498802,18.511599,30.000254,19.788134,99.464188,46.276279,19.626415,33.276279,40.114056,62.602455,99.925644,140.76418,172.95233,172.95233,143.46393
4,122,-220,-34653.5453,4457397.43676,1185.2025,229.75323,86.810707,216.80685,229.68732,192.75323,184.87276,85.881195,34.004581,12.942525,4,15.934091,29.934092,29.003855,105.24677,52.246769,27.99542,39.118805,43.242188,65.242188,102.24219,143.29967,177.12267,176.18471,147.41919
5,114,-275,-42653.5453,4402397.43676,551.52673,238.50049,77.849022,202.48857,223.42601,183.9136,176.70007,75.380295,28.668303,6.6683016,2.6683016,9.8629732,22.394249,55.756729,133.03078,81.7547,54.343624,71.673294,80.43898,100.88683,133.0864,170.42012,199.75673,198.22748,173.81235
6,119,-323,-37653.5453,4354397.43676,208.10287,220.34631,58.54517,146.08614,182.54097,167.25974,138.91298,63.259739,26,6.9134207,2,6,16.08658,74.826843,152.43335,101.71877,75.627991,93.454834,101.91763,119.84833,152.45483,184.98271,215.54141,211.54141,189.5629
7,116,-362,-40653.5453,4315397.43676,432.30081,240.78566,75.443871,192.25842,204.78566,179.83783,168.78566,77.443871,21.9711,6,2,7,18.947819,69.15654,137.13327,94.133263,70.133263,83.133263,87.660492,103.15654,131.08336,161.65822,186.07545,185.57941,168.13327
8,136,-422,-20653.5453,4255397.43676,80.034386,227.09885,65.923912,163.80978,184.1635,162.84782,140.17493,65.923912,14,6,2,4,14,82.353714,148.36514,111.02661,83.038048,98.722374,104.72237,118.33854,138.31567,159.26245,168.28906,171.28906,170.3271
9,150,-27,-6653.54530003,4650397.43676,1118.6588,119.77683,56.440411,120.43327,136.55367,90.876022,80.436836,45.656429,31.660004,20.560814,8,17.099188,24.099188,3.8995872,93.558365,35.90316,4.8995872,24.558365,39.678768,63.117954,100.89836,142.68234,176.33755,174.46275,140.56551
10,144,-59,-12653.5453,4618397.43676,1803.2388,164.20245,82.514091,171.37672,181.20839,132.86478,130.20245,74.852768,47.01302,27.675346,11.168334,23.332739,32.675346,-14.007079,65.148239,11.485909,-12.008085,-3.8517644,-1.5221763,19.303551,56.135216,97.140152,132.47884,132.64223,104.80563
11,157,-126,346.454699974,4551397.43676,1499.9554,164.72981,76.862411,163.03281,170.86032,135.72981,131.86032,71.342873,40.68993,22.344965,8.1724825,18.344965,28.344965,3.0070763,85.704079,30.349154,4.0070763,16.139683,22.622234,45.664207,85.014153,127.52871,162.62721,160.32213,129.83669
