波长（nm）,R_湿裸土,R_灌木,R_水泥砖,R_枯叶,R_草地,R_水体(90),R_水体(45)
350,0.034291081,0.019771981,0.103037478,0.071671396,0.022815909,0.077574497,0.226222695
351,0.038106324,0.017674177,0.102409817,0.068596353,0.019020557,0.074564923,0.22642032
352,0.037594441,0.016059729,0.102922966,0.068421762,0.015496001,0.07432087,0.224849689
353,0.035864985,0.015868225,0.104937128,0.070477332,0.013787848,0.075714453,0.224100022
354,0.04040938,0.020942089,0.110777679,0.074831931,0.019733081,0.076995566,0.231844794
355,0.040556232,0.021197145,0.112060332,0.075383017,0.020852298,0.080941348,0.236945524
356,0.040593344,0.02067502,0.111774327,0.075545565,0.021060366,0.083224981,0.240170234
357,0.043579796,0.021954701,0.111374782,0.077599914,0.022793284,0.079965602,0.241321242
358,0.041797556,0.019988665,0.10864925,0.076438359,0.021977676,0.078916452,0.233436231
359,0.040011058,0.018384275,0.106450326,0.074654119,0.020108384,0.077907745,0.228029127
360,0.039014758,0.017773994,0.105264341,0.072678307,0.017475123,0.076570841,0.226948063
361,0.037274505,0.019676551,0.10583748,0.07248985,0.019350454,0.076468151,0.218951951
362,0.035179504,0.018201287,0.10251268,0.069513063,0.018941456,0.073700472,0.211527183
363,0.03368484,0.015152386,0.09783384,0.065651503,0.017466693,0.069732368,0.205353224
364,0.036602873,0.015746876,0.099876297,0.067006109,0.018511225,0.068879119,0.20370644
365,0.035663069,0.017287778,0.100193006,0.067803884,0.018659874,0.070096692,0.20625617
366,0.034831516,0.018363257,0.100913692,0.068952252,0.018701823,0.071971617,0.210148721
367,0.037478085,0.017617929,0.104146652,0.07148469,0.01926106,0.073783396,0.214025988
368,0.038599639,0.017197797,0.105820408,0.072647471,0.018062173,0.075128455,0.216384286
369,0.038886172,0.017684325,0.10829888,0.074598661,0.018082563,0.07644409,0.21968329
370,0.038595093,0.019402144,0.112778852,0.078299622,0.020169945,0.078259114,0.225766881
371,0.039643789,0.019383914,0.113864558,0.077558286,0.019493935,0.078734708,0.228911637
372,0.041588399,0.019376478,0.114966809,0.079165025,0.020218353,0.080038319,0.231684202
373,0.043545866,0.019175461,0.115451734,0.081799211,0.021732653,0.081068762,0.23263335
374,0.040995104,0.017643719,0.11149372,0.078994024,0.021251372,0.076012996,0.222945088
375,0.038660939,0.015552665,0.10727088,0.075721243,0.019989962,0.072227689,0.214529673
376,0.037652228,0.01506866,0.105027772,0.073775615,0.019604231,0.070570667,0.209467468
377,0.039924319,0.019428301,0.108370229,0.075878524,0.022393037,0.073198496,0.212002884
378,0.03946746,0.019062858,0.110406793,0.078405166,0.021907888,0.073328724,0.214575419
379,0.040594022,0.019224457,0.113951531,0.080643739,0.022628655,0.075592092,0.220704235
380,0.044363331,0.021187426,0.119112073,0.081749891,0.025728353,0.080959949,0.230158101
381,0.043349188,0.021698726,0.120961397,0.086630494,0.024502629,0.081827304,0.235400878
382,0.042312072,0.020358054,0.121435636,0.087835903,0.022887554,0.080947119,0.234213999
383,0.041989302,0.018272113,0.120928328,0.086481407,0.021707952,0.079453455,0.228905231
